time,theta
2.3,0.00601736,-0.00218448
2.305,0.00600644,-0.00218315
2.31,0.00599553,-0.0021818
2.315,0.00598462,-0.00218045
2.32,0.00597371,-0.00217908
2.325,0.00596282,-0.00217771
2.33,0.00595193,-0.00217632
2.335,0.00594105,-0.00217492
2.34,0.00593017,-0.00217351
2.345,0.00591931,-0.0021721
2.35,0.00590845,-0.00217067
2.355,0.00589759,-0.00216923
2.36,0.00588675,-0.00216778
2.365,0.00587591,-0.00216632
2.37,0.00586508,-0.00216485
2.375,0.00585425,-0.00216337
2.38,0.00584343,-0.00216189
2.385,0.00583263,-0.00216039
2.39,0.00582182,-0.00215888
2.395,0.00581103,-0.00215736
2.4,0.00580024,-0.00215583
2.405,0.00578946,-0.0021543
2.41,0.00577869,-0.00215275
2.415,0.00576793,-0.00215119
2.42,0.00575717,-0.00214963
2.425,0.00574642,-0.00214805
2.43,0.00573568,-0.00214647
2.435,0.00572495,-0.00214488
2.44,0.00571423,-0.00214327
2.445,0.00570351,-0.00214166
2.45,0.0056928,-0.00214004
2.455,0.0056821,-0.00213841
2.46,0.00567141,-0.00213677
2.465,0.00566073,-0.00213513
2.47,0.00565005,-0.00213347
2.475,0.00563938,-0.00213181
2.48,0.00562872,-0.00213013
2.485,0.00561807,-0.00212845
2.49,0.00560743,-0.00212676
2.495,0.0055968,-0.00212506
2.5,0.00558617,-0.00212335
2.505,0.00557555,-0.00212164
2.51,0.00556495,-0.00211991
2.515,0.00555435,-0.00211818
2.52,0.00554376,-0.00211644
2.525,0.00553317,-0.00211469
2.53,0.0055226,-0.00211293
2.535,0.00551204,-0.00211117
2.54,0.00550148,-0.00210939
2.545,0.00549093,-0.00210761
2.55,0.00548039,-0.00210582
2.555,0.00546987,-0.00210403
2.56,0.00545935,-0.00210222
2.565,0.00544883,-0.00210041
2.57,0.00543833,-0.00209859
2.575,0.00542784,-0.00209676
2.58,0.00541736,-0.00209492
2.585,0.00540688,-0.00209308
2.59,0.00539642,-0.00209123
2.595,0.00538596,-0.00208937
2.6,0.00537551,-0.00208751
2.605,0.00536508,-0.00208563
2.61,0.00535465,-0.00208375
2.615,0.00534423,-0.00208187
2.62,0.00533382,-0.00207997
2.625,0.00532342,-0.00207807
2.63,0.00531303,-0.00207616
2.635,0.00530265,-0.00207425
2.64,0.00529228,-0.00207232
2.645,0.00528192,-0.00207039
2.65,0.00527156,-0.00206846
2.655,0.00526122,-0.00206651
2.66,0.00525089,-0.00206456
2.665,0.00524057,-0.00206261
2.67,0.00523025,-0.00206064
2.675,0.00521995,-0.00205867
2.68,0.00520966,-0.0020567
2.685,0.00519937,-0.00205471
2.69,0.0051891,-0.00205272
2.695,0.00517884,-0.00205073
2.7,0.00516858,-0.00204872
2.705,0.00515834,-0.00204671
2.71,0.0051481,-0.0020447
2.715,0.00513788,-0.00204268
2.72,0.00512767,-0.00204065
2.725,0.00511746,-0.00203862
2.73,0.00510727,-0.00203658
2.735,0.00509709,-0.00203453
2.74,0.00508692,-0.00203248
2.745,0.00507675,-0.00203042
2.75,0.0050666,-0.00202836
2.755,0.00505646,-0.00202629
2.76,0.00504633,-0.00202421
2.765,0.00503621,-0.00202213
2.77,0.0050261,-0.00202004
2.775,0.005016,-0.00201795
2.78,0.00500591,-0.00201585
2.785,0.00499583,-0.00201375
2.79,0.00498576,-0.00201164
2.795,0.0049757,-0.00200952
2.8,0.00496565,-0.0020074
2.805,0.00495562,-0.00200528
2.81,0.00494559,-0.00200315
2.815,0.00493557,-0.00200101
2.82,0.00492557,-0.00199887
2.825,0.00491557,-0.00199672
2.83,0.00490559,-0.00199457
2.835,0.00489562,-0.00199241
2.84,0.00488566,-0.00199025
2.845,0.0048757,-0.00198808
2.85,0.00486576,-0.00198591
2.855,0.00485583,-0.00198373
2.86,0.00484592,-0.00198155
2.865,0.00483601,-0.00197936
2.87,0.00482611,-0.00197717
2.875,0.00481623,-0.00197497
2.88,0.00480635,-0.00197277
2.885,0.00479649,-0.00197056
2.89,0.00478663,-0.00196835
2.895,0.00477679,-0.00196613
2.9,0.00476696,-0.00196391
2.905,0.00475714,-0.00196169
2.91,0.00474733,-0.00195946
2.915,0.00473754,-0.00195722
2.92,0.00472775,-0.00195498
2.925,0.00471798,-0.00195274
2.93,0.00470821,-0.00195049
2.935,0.00469846,-0.00194824
2.94,0.00468872,-0.00194598
2.945,0.00467899,-0.00194372
2.95,0.00466927,-0.00194146
2.955,0.00465956,-0.00193919
2.96,0.00464987,-0.00193692
2.965,0.00464018,-0.00193464
2.97,0.00463051,-0.00193236
2.975,0.00462085,-0.00193007
2.98,0.0046112,-0.00192778
2.985,0.00460156,-0.00192549
2.99,0.00459193,-0.00192319
2.995,0.00458231,-0.00192089
3,0.00457271,-0.00191859
3.005,0.00456312,-0.00191628
3.01,0.00455353,-0.00191397
3.015,0.00454397,-0.00191165
3.02,0.00453441,-0.00190933
3.025,0.00452486,-0.00190701
3.03,0.00451533,-0.00190468
3.035,0.0045058,-0.00190235
3.04,0.00449629,-0.00190002
3.045,0.00448679,-0.00189768
3.05,0.0044773,-0.00189534
3.055,0.00446782,-0.00189299
3.06,0.00445836,-0.00189065
3.065,0.00444891,-0.0018883
3.07,0.00443947,-0.00188594
3.075,0.00443004,-0.00188358
3.08,0.00442062,-0.00188122
3.085,0.00441121,-0.00187886
3.09,0.00440182,-0.00187649
3.095,0.00439243,-0.00187412
3.1,0.00438306,-0.00187175
3.105,0.00437371,-0.00186937
3.11,0.00436436,-0.00186699
3.115,0.00435502,-0.00186461
3.12,0.0043457,-0.00186222
3.125,0.00433639,-0.00185983
3.13,0.00432709,-0.00185744
3.135,0.0043178,-0.00185505
3.14,0.00430853,-0.00185265
3.145,0.00429926,-0.00185025
3.15,0.00429001,-0.00184785
3.155,0.00428077,-0.00184544
3.16,0.00427155,-0.00184303
3.165,0.00426233,-0.00184062
3.17,0.00425313,-0.00183821
3.175,0.00424394,-0.00183579
3.18,0.00423476,-0.00183337
3.185,0.00422559,-0.00183095
3.19,0.00421644,-0.00182853
3.195,0.00420729,-0.0018261
3.2,0.00419816,-0.00182367
3.205,0.00418905,-0.00182124
3.21,0.00417994,-0.00181881
3.215,0.00417085,-0.00181637
3.22,0.00416176,-0.00181394
3.225,0.00415269,-0.0018115
3.23,0.00414364,-0.00180905
3.235,0.00413459,-0.00180661
3.24,0.00412556,-0.00180416
3.245,0.00411654,-0.00180171
3.25,0.00410753,-0.00179926
3.255,0.00409853,-0.00179681
3.26,0.00408955,-0.00179435
